FUNCTION	Actinobaculum schaalii FB123-CNA-2 AGWM01	Actinobaculum schaalii DSM 15541 AUBK01	Actinobaculum sp. oral taxon 183 str. F0552 AWSB01	Actinobaculum massiliae ACS-171-V-Col2 AGWL01	Actinobaculum urinale DSM 15805 ATUY01	Actinoalloteichus cyanogriseus JOAL01	Actinocatenispora sera JOEG01	Actinoalloteichus cyanogriseus DSM 43889 AUBJ01	Actinoalloteichus cyanogriseus JODV01	Actinokineospora enzanensis DSM 44649 ARFV01	
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	1	1	1	1	1	1	1	1	1	1	
DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	1	1	1	1	1	1	1	1	1	1	
DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	1	1	1	1	1	1	1	1	1	1	
DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	1	1	1	1	1	1	1	1	1	1	
DUF1794	1	1	1	1	1	1	1	1	1	1	
DUF324 domain-containing protein	0	0	0	0	0	1	0	1	1	0	
Deacetylases, including yeast histone deacetylase and acetoin utilization protein	0	0	0	0	0	0	0	0	0	1	
Death on curing protein, Doc toxin	0	0	0	0	0	0	1	0	0	1	
DedA family protein paralog	0	0	0	0	0	0	0	0	0	1	
DedA protein	0	0	1	0	0	1	3	2	2	4	
Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	1	1	1	1	1	1	1	1	1	1	
Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	0	0	0	0	0	1	1	1	1	1	
Deoxyribonucleoside regulator DeoR (transcriptional repressor)	1	1	0	0	0	0	0	0	0	0	
Deoxyribose-phosphate aldolase (EC 4.1.2.4)	2	4	2	1	0	0	1	1	1	1	
Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	0	0	0	0	0	1	1	1	1	1	
Dephospho-CoA kinase (EC 2.7.1.24)	1	1	1	1	1	0	1	1	1	1	
Dethiobiotin synthetase (EC 6.3.3.3)	0	0	0	0	0	1	0	1	1	1	
Di-/tripeptide transporter	1	1	1	0	1	1	0	1	1	1	
Di/tripeptide permease DtpT	0	0	0	0	0	0	1	0	0	0	
Diaminobutyrate-pyruvate aminotransferase (EC 2.6.1.46)	0	0	0	0	0	1	1	1	1	1	
Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	0	0	0	0	0	0	0	0	0	2	
Diaminopimelate decarboxylase (EC 4.1.1.20)	1	1	1	1	1	2	1	2	2	4	
Diaminopimelate epimerase (EC 5.1.1.7)	0	0	1	0	0	1	1	1	1	2	
Dibenzothiophene desulfurization enzyme B	0	0	0	0	0	0	0	0	0	1	
Dihydroflavonol-4-reductase (EC 1.1.1.219)	0	0	0	1	0	0	0	0	0	0	
Dihydrofolate reductase (EC 1.5.1.3)	1	1	1	1	1	4	11	7	5	6	
Dihydrofolate synthase (EC 6.3.2.12)	1	1	1	1	1	1	1	1	1	1	
Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex (EC 2.3.1.-)	0	0	0	0	0	0	1	0	0	0	
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	0	0	0	0	0	2	3	2	2	2	
Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	0	0	1	0	0	1	1	1	1	1	
Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	0	0	0	0	0	2	2	2	2	2	
Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	0	0	1	0	0	1	1	1	1	1	
Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	0	0	0	0	0	1	1	1	1	2	
Dihydroneopterin aldolase (EC 4.1.2.25)	0	0	0	0	0	1	1	1	1	1	
Dihydroorotase (EC 3.5.2.3)	0	0	1	0	0	2	2	2	2	3	
Dihydroorotate dehydrogenase (EC 1.3.3.1)	0	0	1	0	0	1	1	1	1	1	
Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	0	0	0	0	0	1	0	1	1	0	
Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)	0	0	0	0	0	1	0	1	1	0	
Dihydropteroate synthase (EC 2.5.1.15)	1	1	1	1	1	1	1	1	1	1	
Dihydroxy-acid dehydratase (EC 4.2.1.9)	2	2	1	0	2	1	2	2	2	1	
Dihydroxyacetone kinase family protein	0	0	0	0	0	0	0	1	1	1	
Dihydroxyacetone kinase, ATP-dependent (EC 2.7.1.29)	0	0	1	1	1	1	0	2	2	0	
Dimethylallyltransferase (EC 2.5.1.1)	1	1	1	1	1	2	4	2	2	3	
DinG family ATP-dependent helicase YoaA	1	1	1	1	1	0	1	1	1	1	
Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	1	1	0	1	0	1	1	2	2	2	
Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	1	1	0	0	0	2	8	2	2	3	
Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	1	1	0	0	1	4	5	4	4	4	
Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	1	1	0	0	0	2	2	2	2	3	
Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)	1	1	0	1	0	0	0	0	0	0	
Dipeptidyl peptidase IV in 4-hydroxyproline catabolic gene cluster	0	0	0	0	0	0	1	0	0	0	
Diphosphomevalonate decarboxylase (EC 4.1.1.33)	1	1	0	1	1	0	0	0	0	0	
Division initiation protein	0	0	0	0	0	0	1	0	0	0	
Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster	1	1	1	2	1	1	2	1	1	3	
Duplicated ATPase component CbrU of energizing module of predicted cobalamin ECF transporter	0	0	0	0	0	0	0	0	0	1	
Ectoine hydroxylase (EC 1.17.-.-)	0	0	0	0	0	1	1	1	1	2	
ElaA protein	0	0	0	0	0	1	1	1	1	1	
Electron transfer flavoprotein, alpha subunit	0	0	1	1	1	1	1	1	1	1	
Electron transfer flavoprotein, beta subunit	0	0	1	1	0	1	1	1	1	1	
Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1)	0	0	1	0	0	1	1	1	1	1	
Encapsulating protein for a DyP-type peroxidase or ferritin-like protein oligomers	0	0	0	0	0	0	1	0	0	0	
Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	0	0	2	0	0	5	0	5	5	0	
Endoglucanase (EC 3.2.1.4)	0	0	0	0	0	1	0	1	1	1	
Endonuclease III (EC 4.2.99.18)	0	0	1	0	0	1	1	1	1	1	
Endonuclease IV (EC 3.1.21.2)	0	0	0	0	0	1	2	1	1	1	
Endonuclease V (EC 3.1.21.7)	0	0	0	0	0	1	1	1	1	0	
Endoribonuclease L-PSP	0	0	0	0	0	0	0	0	0	1	
Enolase (EC 4.2.1.11)	1	1	1	1	1	1	1	1	1	1	
Enoyl-CoA hydratase (EC 4.2.1.17)	0	0	0	0	0	5	6	6	6	8	
Enoyl-CoA hydratase [isoleucine degradation] (EC 4.2.1.17)	0	0	0	0	0	0	0	0	0	1	
Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)	0	0	0	0	0	1	2	1	1	1	
Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9), inferred for PFA pathway	0	0	0	0	0	2	0	2	2	1	
Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	0	0	0	0	0	0	2	1	1	1	
Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)	0	0	0	0	0	2	3	2	3	1	
Epi-inositol hydrolase (EC 3.7.1.-)	0	0	0	0	0	0	1	0	0	0	
Epoxide hydrolase (EC 3.3.2.9)	0	1	0	0	0	2	2	3	3	2	
Error-prone repair protein UmuD	0	0	0	0	1	0	0	0	0	0	
Error-prone, lesion bypass DNA polymerase V (UmuC)	0	0	0	0	1	0	0	0	0	0	
Ethylmalonyl-CoA epimerase	0	0	0	0	0	1	1	1	1	1	
Ethylmalonyl-CoA mutase, methylsuccinyl-CoA-forming	0	0	0	0	0	0	0	0	0	1	
Excinuclease ABC subunit A	1	1	1	1	1	1	1	2	2	1	
Excinuclease ABC subunit A paralog of unknown function	0	0	0	0	0	3	2	2	3	3	
Excinuclease ABC subunit B	1	1	1	1	1	1	1	1	1	1	
Excinuclease ABC subunit C	1	1	1	1	1	1	1	1	1	1	
Exodeoxyribonuclease III (EC 3.1.11.2)	2	2	2	2	2	2	0	2	2	3	
Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	1	1	1	1	1	1	1	1	1	1	
Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	1	1	1	1	1	1	1	1	1	1	
Exoenzymes regulatory protein AepA in lipid-linked oligosaccharide synthesis cluster	0	0	0	0	0	1	1	1	1	3	
Exonuclease SbcC	2	1	1	1	2	1	1	1	1	1	
Exonuclease SbcD	1	1	1	1	1	1	1	1	1	1	
Exopolyphosphatase (EC 3.6.1.11)	1	1	1	1	1	1	2	1	1	3	
Extracellular ribonuclease Bsn	0	0	0	0	0	0	0	0	0	1	
FIG000325: clustered with transcription termination protein NusA	1	1	1	1	1	0	1	1	1	1	
FIG000506: Predicted P-loop-containing kinase	0	0	0	0	0	0	0	0	0	1	
FIG000557: hypothetical protein co-occurring with RecR	0	0	0	0	0	2	1	2	2	2	
FIG000605: protein co-occurring with transport systems (COG1739)	1	1	1	1	1	1	1	1	1	0	
FIG000859: hypothetical protein YebC	1	1	1	1	1	1	1	1	1	1	
FIG001454: Transglutaminase-like enzymes, putative cysteine proteases	0	0	1	0	0	1	2	1	1	3	
FIG001614: Membrane protein	0	0	0	0	0	0	1	0	0	0	
FIG001886: Cytoplasmic hypothetical protein	0	0	0	0	0	0	0	0	0	1	
FIG001943: hypothetical protein YajQ	0	0	1	1	0	1	1	1	1	1	
FIG002343: hypothetical protein	0	0	1	0	0	1	2	1	1	3	
FIG002344: Hydrolase (HAD superfamily)	0	0	0	0	0	0	1	0	0	0	
FIG002473: Protein YcaR in KDO2-Lipid A biosynthesis cluster	0	0	0	0	0	1	1	1	1	1	
FIG002813: LPPG:FO 2-phospho-L-lactate transferase like, CofD-like	0	0	0	0	0	0	0	0	0	1	
FIG002958: hypothetical protein	1	1	0	1	0	1	0	1	1	1	
FIG004453: protein YceG like	1	1	0	1	1	1	1	1	1	1	
FIG004853: possible toxin to DivIC	1	1	1	1	1	1	1	1	1	1	
FIG005429: hypothetical protein	0	0	0	0	0	0	1	0	0	0	
FIG005453: Putative DeoR-family transcriptional regulator	0	0	1	1	0	1	1	1	1	1	
FIG005666: putative helicase	0	0	1	1	1	1	1	1	1	1	
FIG005773: conserved membrane protein ML1361	1	1	1	1	1	0	1	1	1	1	
FIG006126: DNA helicase, restriction/modification system component YeeB	1	1	0	0	0	0	0	0	0	0	
FIG007317: Chromosome segregation protein SMC-like	0	0	0	0	0	0	1	0	0	0	
FIG007481: hypothetical protein	1	1	1	1	1	0	1	1	1	1	
FIG007959: peptidase, M16 family	1	1	1	1	1	1	1	1	1	1	
FIG00820327: hypothetical protein	1	1	1	1	1	1	1	1	1	1	
FIG011121: hypothetical protein	0	0	0	0	0	0	1	0	0	0	
FIG011178: rRNA methylase	0	0	0	0	0	0	1	0	0	1	
FIG015373: Membrane protein	0	0	0	0	0	0	2	0	0	0	
FIG016317: Probable conserved transmembrane protein	0	0	0	0	0	1	1	1	1	1	
FIG017108: hypothetical protein	0	0	0	0	0	0	1	1	1	1	
FIG019045: long form Mg-chelase associated protein with vWA domain	0	0	0	0	0	0	1	0	0	1	
FIG019733: possible DNA-binding protein	0	0	0	1	0	1	1	1	1	1	
FIG020554: membrane protein	0	0	0	0	0	0	1	0	0	1	
FIG021292: hypothetical protein	1	1	1	1	1	1	0	1	1	1	
FIG021574: Possible membrane protein related to de Novo purine biosynthesis	0	0	0	0	0	0	0	1	1	1	
FIG021764: Possible membrane protein	1	1	1	1	1	1	0	1	1	1	
FIG022979: MoxR-like ATPases	0	0	1	0	0	1	4	1	1	3	
FIG024784: Integral membrane protein related to pyrimidine synthesis	0	0	0	0	0	1	0	1	1	1	
FIG024795: hypothetical protein	0	0	0	0	0	0	1	1	1	1	
FIG025307: hypothetical protein	0	0	0	0	0	0	1	0	0	0	
FIG025412: hypothetical protein	0	0	0	0	0	1	0	1	1	1	
FIG027937: secreted protein	0	0	0	0	0	2	1	2	2	3	
FIG030330: hypothetical protein	0	0	0	0	0	0	1	0	0	0	
FIG032248: hypothetical protein	0	0	0	0	0	1	0	1	1	1	
FIG033897: hypothetical protein	0	0	0	0	0	1	0	1	1	1	
FIG038648: MoaD and/or ThiS families	0	0	0	0	0	0	1	0	0	1	
FIG039767: hypothetical protein	0	0	0	0	0	0	1	0	0	0	
FIG043778: hypothetical protein	0	0	0	0	0	1	1	1	1	0	
FIG045374: Type II restriction enzyme, methylase subunit YeeA	2	2	0	2	0	0	0	0	0	0	
FIG054221: Possible conserved alanine rich membrane protein	0	0	0	0	0	1	1	1	1	1	
FIG055075: Possibly a cell division protein, antigen 84 in Mycobacteria	1	1	1	1	1	1	0	1	1	1	
FIG056164: rhomboid family serine protease	1	1	1	1	1	1	1	1	1	1	
FIG059250: hypothetical protein	0	0	0	0	0	1	0	1	1	0	
FIG059443: hypothetical protein	0	0	0	0	0	0	0	0	0	1	
FIG087842: Hypothetical protein	0	1	0	0	0	0	0	0	0	3	
FIG092679: Fe-S oxidoreductase	0	0	0	0	0	0	1	1	1	1	
FIG098404: Hypothetical protein	0	1	0	0	0	0	0	0	0	3	
FIG100068: Hypothetical protein	0	1	0	0	0	0	0	0	0	3	
FIG111991: hypothetical protein	0	0	1	0	0	1	0	1	1	1	
FIG124585: Hypothetical protein	0	1	0	0	0	0	0	0	0	2	
FIG137478: Hypothetical protein	0	0	0	0	0	0	0	1	1	1	
FIG137478: Hypothetical protein YbgI	0	0	0	1	1	1	1	1	1	1	
FIG137598: hypothetical protein	0	0	0	0	0	0	1	0	0	0	
FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type	0	0	0	0	0	0	1	0	0	1	
FIG146518: Zn-dependent hydrolases, including glyoxylases	0	0	0	0	0	0	1	0	0	0	
FIG149030: hypothetical protein	0	0	0	0	0	0	1	0	0	0	
FIG187021: hypothetical protein	1	1	1	1	1	1	1	1	1	1	
FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	0	0	0	1	1	0	0	0	0	0	
FMN adenylyltransferase (EC 2.7.7.2)	1	1	1	1	1	1	1	1	1	1	
FMN reductase (EC 1.5.1.29)	0	0	0	0	0	1	2	1	1	2	
Ferredoxin	0	0	0	0	0	4	3	4	4	2	
Ferredoxin reductase	0	0	1	1	0	1	2	1	1	1	
Ferredoxin, 2Fe-2S	1	1	1	1	0	2	2	2	2	1	
Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)	1	1	1	1	1	0	0	0	0	0	
Ferredoxin--sulfite reductase, actinobacterial type (EC 1.8.7.1)	0	0	0	0	0	0	1	0	0	0	
Ferric enterobactin-binding periplasmic protein FepB (TC 3.A.1.14.2)	0	0	1	0	0	0	0	0	0	0	
Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), ATP-binding protein FhuC	0	0	0	0	0	1	1	1	1	0	
Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), periplasmic substrate binding protein FhuD	0	0	0	0	0	1	0	1	1	0	
Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), permease component FhuB	0	0	0	0	0	1	2	1	1	0	
Ferrichrome transport ATP-binding protein FhuC (TC 3.A.1.14.3)	0	0	0	0	1	0	0	0	0	0	
Ferritin-like protein 2	0	0	0	0	0	1	1	1	1	1	
Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	1	1	2	1	1	1	1	1	1	1	
Ferrous iron transport periplasmic protein EfeO, contains peptidase-M75 domain and (frequently) cupredoxin-like domain	0	0	0	0	0	0	2	0	0	1	
Ferrous iron transport permease EfeU	0	0	0	0	0	0	2	0	0	1	
Ferrous iron transport peroxidase EfeB	0	0	0	0	0	0	2	0	0	3	
Ferrous iron transport protein B	0	0	1	0	0	0	0	0	0	0	
Ferroxidase (EC 1.16.3.1)	1	1	1	1	1	1	2	1	1	0	
Flagellar M-ring protein FliF	0	0	0	0	0	0	0	0	0	1	
Flagellar assembly factor FliW	0	0	0	0	0	0	0	0	0	1	
Flagellar assembly protein FliH	0	0	0	0	0	0	0	0	0	1	
Flagellar basal-body rod modification protein FlgD	0	0	0	0	0	0	0	0	0	1	
Flagellar basal-body rod protein FlgB	0	0	0	0	0	0	0	0	0	1	
Flagellar basal-body rod protein FlgC	0	0	0	0	0	0	0	0	0	1	
Flagellar biosynthesis protein FlhA	0	0	0	0	0	0	0	0	0	1	
Flagellar biosynthesis protein FlhB	0	0	0	0	0	0	0	0	0	1	
Flagellar biosynthesis protein FliP	0	0	0	0	0	0	0	0	0	1	
Flagellar biosynthesis protein FliQ	0	0	0	0	0	0	0	0	0	1	
Flagellar biosynthesis protein FliR	0	0	0	0	0	0	0	0	0	1	
Flagellar biosynthesis protein FliS	0	0	0	0	0	0	0	0	0	1	
Flagellar hook protein FlgE	0	0	0	0	0	0	0	0	0	1	
Flagellar hook-associated protein FlgK	0	0	0	0	0	0	0	0	0	1	
Flagellar hook-associated protein FlgL	0	0	0	0	0	0	0	0	0	1	
Flagellar hook-associated protein FliD	0	0	0	0	0	0	0	0	0	1	
Flagellar hook-basal body complex protein FliE	0	0	0	0	0	0	0	0	0	1	
Flagellar hook-length control protein FliK	0	0	2	0	0	2	0	1	1	5	
Flagellar motor rotation protein MotA	0	0	0	0	0	0	0	0	0	1	
Flagellar motor rotation protein MotB	0	0	0	0	0	0	0	0	0	1	
Flagellar motor switch protein FliG	0	0	0	0	0	0	0	0	0	1	
Flagellar motor switch protein FliM	0	0	0	0	0	0	0	0	0	1	
Flagellar motor switch protein FliN	0	0	0	0	0	0	0	0	0	1	
Flagellar protein FlbD	0	0	0	0	0	0	0	0	0	1	
Flagellar protein FlgJ [peptidoglycan hydrolase] (EC 3.2.1.-)	0	0	0	0	0	0	0	0	0	1	
Flagellin protein FlaA	0	0	0	0	0	0	0	0	0	1	
Flagellum-specific ATP synthase FliI	0	0	0	0	0	0	0	0	0	1	
Flavin reductase (EC 1.5.1.30)	0	0	0	0	0	0	2	0	0	2	
Flavodoxin	2	2	0	1	1	0	0	0	0	0	
Flavodoxin 2	0	0	2	0	0	1	3	1	1	0	
Flavodoxin reductases (ferredoxin-NADPH reductases) family 1	0	0	0	0	0	0	4	0	0	4	
Flavohemoprotein (Hemoglobin-like protein) (Flavohemoglobin) (Nitric oxide dioxygenase) (EC 1.14.12.17)	0	0	0	0	0	1	3	1	1	2	
Flp pilus assembly protein TadB	1	1	0	1	0	0	0	0	0	0	
Flp pilus assembly protein, ATPase CpaF	0	0	0	0	0	1	1	1	1	1	
Folate-dependent protein for Fe/S cluster synthesis/repair in oxidative stress	1	1	1	1	0	1	1	1	1	1	
Folylpolyglutamate synthase (EC 6.3.2.17)	1	1	1	1	1	1	1	1	1	1	
Formaldehyde dehydrogenase MscR, NAD/mycothiol-dependent (EC 1.2.1.66)	0	0	0	0	0	1	1	1	1	1	
Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)	2	2	1	2	1	4	5	5	5	4	
Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	0	0	0	0	0	1	0	1	1	0	
Formate dehydrogenase O beta subunit (EC 1.2.1.2)	0	0	0	0	0	1	0	1	1	0	
Formate dehydrogenase O putative subunit	0	0	0	0	0	1	0	1	1	0	
Formate dehydrogenase chain D (EC 1.2.1.2)	0	0	0	0	0	1	0	1	1	1	
Formate efflux transporter (TC 2.A.44 family)	1	1	0	1	1	0	0	0	0	0	
Formate--tetrahydrofolate ligase (EC 6.3.4.3)	1	1	1	1	1	0	0	0	0	0	
Formiminoglutamic iminohydrolase (EC 3.5.3.13)	0	0	0	0	0	1	1	1	1	1	
Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4)	0	0	0	0	0	0	1	1	0	0	
Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0	0	0	0	0	1	0	1	1	1	
Fructokinase (EC 2.7.1.4)	2	3	2	1	1	1	1	1	1	1	
Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)	0	0	0	0	0	1	1	1	1	1	
Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)	0	0	1	1	0	1	1	1	1	1	
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	1	1	1	1	1	1	1	1	1	1	
Fructuronate transporter GntP	1	1	0	1	1	0	0	0	0	0	
Fumarate hydratase class I, aerobic (EC 4.2.1.2)	0	0	0	0	0	0	0	0	0	1	
Fumarate hydratase class II (EC 4.2.1.2)	1	1	0	1	1	0	1	1	1	1	
Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	0	0	0	0	0	1	0	1	1	0	
Fumarylacetoacetase (EC 3.7.1.2)	0	0	0	0	0	3	1	3	3	2	
Fumarylacetoacetate hydrolase family protein	1	1	1	1	1	0	1	0	0	0	
G:T/U mismatch-specific uracil/thymine DNA-glycosylase	0	0	0	0	0	0	0	0	0	1	
GCN5-related N-acetyltransferase, FIGfam019367	1	1	1	1	1	1	1	1	1	1	
GDP-L-fucose synthetase (EC 1.1.1.271)	0	0	0	0	0	0	0	0	0	1	
GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	0	0	0	0	0	0	0	0	0	1	
GLUCOSE-FRUCTOSE OXIDOREDUCTASE (EC 1.1.99.28)	0	0	0	0	0	1	1	1	1	0	
GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)	1	1	1	1	1	1	2	1	1	1	
GTP cyclohydrolase I (EC 3.5.4.16) type 1	1	1	1	1	1	1	2	1	1	1	
GTP cyclohydrolase II (EC 3.5.4.25)	0	0	0	0	0	1	2	1	1	3	
GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	1	1	1	1	1	1	2	1	1	1	
GTP-binding and nucleic acid-binding protein YchF	1	1	1	1	1	1	1	1	1	1	
GTP-binding protein EngA	1	1	1	1	1	1	1	1	1	1	
GTP-binding protein Era	1	1	1	1	1	1	1	1	1	1	
GTP-binding protein HflX	1	1	0	1	1	1	1	1	1	1	
GTP-binding protein Obg	1	1	1	1	1	1	1	1	1	1	
GTP-binding protein TypA/BipA	1	1	1	1	1	1	1	1	1	1	
Galactokinase (EC 2.7.1.6)	0	1	0	1	0	1	1	1	1	1	
Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	0	0	0	0	0	1	1	1	1	1	
Galactoside O-acetyltransferase (EC 2.3.1.18)	2	2	0	0	1	1	2	1	1	2	
Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)	0	0	0	0	0	1	1	1	1	0	
Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	1	1	0	1	1	1	2	1	1	1	
Gamma-glutamyltranspeptidase (EC 2.3.2.2)	0	0	0	0	0	2	2	2	2	3	
Gene SCO4494, often clustered with other genes in menaquinone via futalosine pathway	0	0	0	0	0	0	1	0	0	0	
Gentisate 1,2-dioxygenase (EC 1.13.11.4)	0	0	0	0	0	0	0	0	0	2	
Geranylgeranyl diphosphate synthase (EC 2.5.1.29)	2	1	1	1	1	2	6	2	2	2	
Glucarate dehydratase (EC 4.2.1.40)	1	1	0	0	0	2	2	2	2	0	
Glucoamylase (EC 3.2.1.3)	0	0	0	0	0	2	3	2	2	2	
Glucokinase (EC 2.7.1.2)	1	1	0	1	1	0	0	0	0	0	
Gluconate dehydratase (EC 4.2.1.39)	0	0	0	0	0	3	3	3	3	0	
Gluconate permease	0	0	0	0	1	0	0	0	0	0	
Gluconate permease, Bsu4004 homolog	1	1	0	0	1	0	0	0	0	0	
Gluconate transporter family protein	2	2	0	0	1	0	1	0	0	1	
Gluconokinase (EC 2.7.1.12)	0	0	1	0	1	1	1	1	1	1	
Gluconolactonase (EC 3.1.1.17)	1	1	1	1	1	2	2	2	2	0	
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	1	1	1	1	1	1	1	1	1	1	
Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	1	1	1	1	1	1	1	1	1	1	
Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	1	1	0	1	1	0	0	0	0	0	
Glucosamine-6-phosphate deaminase [isomerizing], alternative (EC 3.5.99.6)	0	0	0	0	0	1	2	1	1	2	
Glucose 1-dehydrogenase (EC 1.1.1.47)	0	0	0	0	0	0	1	0	0	0	
Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	1	1	1	1	1	0	1	0	0	1	
Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)	0	0	0	0	0	1	0	1	1	0	
Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	1	1	1	1	1	1	0	1	1	1	
Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	1	1	1	1	1	1	2	1	1	1	
Glucose-6-phosphate isomerase (EC 5.3.1.9)	1	1	1	1	1	1	1	1	1	1	
Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	0	0	0	0	0	1	0	1	1	0	
Glucose/mannose:H+ symporter GlcP	1	1	0	1	2	1	1	1	1	0	
Glucuronide transporter UidB	0	0	0	0	2	0	0	0	0	0	
Glutamate 5-kinase (EC 2.7.2.11)	1	1	0	1	1	1	1	1	1	1	
Glutamate N-acetyltransferase (EC 2.3.1.35)	0	0	0	0	1	1	1	1	1	1	
Glutamate racemase (EC 5.1.1.3)	1	1	1	1	1	1	1	1	1	1	
Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	0	0	1	0	0	1	1	1	1	2	
Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	0	0	2	0	0	1	1	1	1	2	
Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	0	0	0	0	0	2	1	2	2	2	
Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)	1	1	1	1	1	1	1	1	1	1	
Glutamine amidotransferase chain of NAD synthetase	1	1	1	1	1	0	1	1	1	1	
Glutamine synthetase family protein in hypothetical Actinobacterial gene cluster	0	0	0	0	0	0	1	0	0	2	
Glutamine synthetase type I (EC 6.3.1.2)	2	2	2	2	2	2	2	2	2	2	
Glutamyl endopeptidase precursor (EC 3.4.21.19), blaSE	0	0	1	0	0	1	0	1	1	0	
Glutamyl-tRNA reductase (EC 1.2.1.70)	0	0	0	0	0	1	1	1	1	1	
Glutamyl-tRNA synthetase (EC 6.1.1.17)	1	1	1	1	1	1	1	1	1	1	
Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)	2	2	1	1	1	1	5	1	1	4	
Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)	1	1	1	1	1	1	1	1	1	1	
Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)	1	1	0	1	1	1	1	1	1	1	
Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)	1	1	1	1	1	1	1	1	1	1	
Glutaredoxin-like protein NrdH, required for reduction of Ribonucleotide reductase class Ib	1	1	1	1	1	0	0	0	0	0	
Glutathione S-transferase domain protein	0	0	0	0	0	0	0	0	0	1	
Glutathione S-transferase, omega (EC 2.5.1.18)	0	0	0	0	0	1	1	1	1	1	
Glycerate kinase (EC 2.7.1.31)	1	1	1	1	2	1	1	1	1	1	
Glycerol dehydrogenase (EC 1.1.1.6)	0	0	0	1	0	0	0	0	0	0	
